2024-01-01 00:00:00;0;OK;192.168.1.1
2024-01-01 00:00:01;8192;FORBIDDEN;192.168.1.2
2024-01-01 00:00:02;8192;OK;192.168.1.3
2024-01-01 00:00:03;512;OK;192.168.1.1
2024-01-01 00:00:04;1024;ERROR;192.168.1.3
2024-01-01 00:00:05;4096;FORBIDDEN;192.168.1.2
2024-01-01 00:00:06;1024;FORBIDDEN;192.168.1.1
2024-01-01 00:00:07;2048;ERROR;10.0.0.1
2024-01-01 00:00:08;0;OK;10.0.0.1
2024-01-01 00:00:09;0;OK;192.168.1.3
2024-01-01 00:00:10;1024;FORBIDDEN;192.168.1.1
2024-01-01 00:00:11;0;OK;10.0.0.1
2024-01-01 00:00:12;4096;FORBIDDEN;10.0.0.1
2024-01-01 00:00:13;2048;OK;10.0.0.2
2024-01-01 00:00:14;1024;OK;192.168.1.2
2024-01-01 00:00:15;512;ERROR;172.16.0.1
2024-01-01 00:00:16;1024;FORBIDDEN;192.168.1.3
2024-01-01 00:00:17;0;OK;192.168.1.1
2024-01-01 00:00:18;1024;OK;10.0.0.1
2024-01-01 00:00:19;2048;OK;192.168.1.3
